現在天氣如何?	How's the weather?
How is the weather today?	今天天氣如何?
現在在下雨	It's rainy.
It’s rainy.	現在在下雨
現在多雲	It's cloudy.
It's cloudy.	現在多雲
It’s windy.	現在風很大
現在風很大	It’s windy.
是晴朗又有風的天氣	It's sunny and windy.
早安，媽	Good morning, Mom.
Good morning, Mom.	早安，媽
It’s sunny now.	現在是晴天
我們到外面玩吧!	Let’s go out and play!
Let’s go out and play.	我們到外面玩吧!
Yeah!	耶!
耶!	Yeah!
"Oh, no! My hat ..."	噢, 不!我的帽子...
走開	Go away.
go away	走開
again	再一次
another day	改天
改天再來	Come again another day.
Come again another day.	改天再來
want	想要
想要	want
Little Annie wants to play.	小安妮想要去玩
小安妮想要去玩	Little Annie wants to play.
那個正確?<br>(1)Little Annie wants to play. <br>(2)Little Annie want to play.	(1)Little Annie wants to play.
Rain, rain, go away.	雨天，雨天，快走開
雨天，雨天，快走開！	Rain, rain, go away.
I want a sunny day.	我想要晴天
我想要晴天	I want a sunny day.
那個正確?<br>(1) I wants a sunny day.<br>(2)I want a sunny day.	(2) I want a sunny day.
那個正確?<br>(1) I want a sunny day.<br>(2)I want an sunny day.	(1) I want a sunny day.
Don't litter.	別亂丟垃圾
別亂丟垃圾	Don't litter.
Pickup the trash.	撿起垃圾
撿起垃圾	Pickup the trash.
trash	垃圾
垃圾	trash
litter	亂丟（雜物）;把……弄得亂七八糟
Don't run!	不要用跑的!
不要用跑的!	Don't run!
注意！	Watch out.
龍捲風	tornado
tornado	龍捲風
現在放晴了	It’s sunny now.
It’s sunny now.	現在放晴了
閃電	lightning
lightning	閃電
thunder	打雷
打雷	thunder
你的祖父是廚師嗎?	Is your grandfather a cook?
Is your grandfather a cook?	你的祖父是廚師嗎?
____ your grandfather a cook?	Is your grandfather a cook?
祖母(阿嬤 奶奶 外婆)	grandmother
grandmother	祖母(阿嬤 奶奶 外婆)
廚師	cook
cook	廚師
祖父(阿公 爺爺 外公)	grandfather
grandfather	祖父(阿公 爺爺 外公)
醫生	doctor
doctor	醫生
聰明的	smart
smart	聰明的
護士	nurse
nurse	護士
嗯! 真好吃!	Mmm, yummy!
Mmm, yummy!	嗯!真好吃!
Where's the cockroach?	蟑螂在哪裡?
cockroach	蟑螂
Ah! A cockroach!	啊! 有蟑螂!
Where is it?	牠在哪裡?
It's on the book.	牠在書上.
Ah!! Two cockroaches!!	啊! 有兩隻蟑螂!!
那個正確?<br>(1)Two cockroaches<br>(2)Two cockroachs	(O)Two cockroaches<br>(X)Two cockroachs
Where are they now?	牠們現在在哪裡?
牠們現在在哪裡?	Where are they now?
Where ___ they now?	Where are they now?
They're in the pencil case.	牠們在鉛筆盒裡.
牠們在鉛筆盒裡.	They're in the pencil case.
The cat is in the box. = 這隻貓在盒子的_____	裡面
The cat is on the box. = 這隻貓在盒子的_____	上面
The yo-yo is by the ball. = 溜溜球在球的_____	旁邊
The yo-yo is under the ball. = 溜溜球在球的_____	下面
Where are the yo-yos?	溜溜球在哪裡?
溜溜球在哪裡?	Where are the yo-yos?
They are in the ball.	它們在球裡面.
It's = ___ ____<br>They're = ____ ____<br>Where's=____ ____	It's = It is<br>They're = They are<br>Where's=Where is
gold	黃金
黃金	gold
bag	包包
包包	bag
cold	冷
冷	cold
kid	小孩
小孩	kid
neck	脖子
脖子	neck
黑色的蟲.	black bug
The black bug feels cold.	黑蟲感覺好冷.
親吻	kiss
假髮	wig
縫隙	gap
鎖	lock
It's here.	它在這裡.
它在這裡.	It's here.
They're over there.	它們在那裡.
它們在那裡.	They're over there.
Is the lamp on the TV?	神燈在電視機的上面嗎?
神燈在電視機的上面嗎?	Is the lamp on the TV?
The lamp is on TV.	神燈在電視畫面上
在電視機的上面 =<br>(1)on the TV<br>(2)on TV	(1)on the TV
在電視上(電視節目中) =<br>(1)on the TV<br>(2)on TV	(2)on TV
A: Is your brother a student? <Br>B: (1)Yes, he's. (2) No, he's not.	(2) No, he's not.
______ my friends. <br>(1) They're (2) They's	(1) They're
A: Don't litter. <br>B: (1) Pickup the trash. (2) Thanks.	(1) Pickup the trash.
A: How's the weather? <br> B: (1) It's sunny. (2) I'm fine.	(1) It's sunny.
A: Goodbye, Miss Chen.<br> B: (1) Good morning. (2) Goodbye.	(2) Goodbye.
The girls are _____. <br> (1) his nurses. (2) nurse.	(1) his nurses.
重組: weather? the How's <br>(天氣如何呢?)	How's the weather?
重組: cook. My father a is <br>(我的爸爸是一位廚師)	My father is a cook.
重組: your a Is mother teacher?<br>(你的媽媽是一位老師嗎?)	Is your mother a teacher?
Your and Bob are in Class 401. You and Bob are ________.	classmates. (參考答案)
You play with (和某人玩) Annie, but she isn't in your class. Annie is your ________.	friend.(參考答案)
