How much is the robot?	這隻機器人多少錢?
twenty	20
twenty-five	25
thirty	30
forty	40 (注意, 不是 fourty)
fifty	50
sixty	60
how much	多少錢?
dollar [ˋdɑlɚ]	元
cool [kul]	酷
Excuse me. [ɪkˋskjuz]	原諒我 / 抱歉 / 請問 / 不好意思
buy	買
buy one get one free	買一送一 <br>(買一個就得到一個免費的)
May I	我可以... 嗎?(表示請求)
have	有, 擁有
one	一個(人或物)
only	只;僅
Here you are.	這些是你要的東西(你要的在這裡了)
Thanks.	謝謝
ship [ʃɪp]	船
shell [}]	貝瞉
fish [fɪʃ] 	魚
brush [brʌʃ}]	刷
shop [ʃɑp]	商店
wish [wɪʃ]	願望
Josh [dʒɑʃ]	賈許(男子名)
sheep [ʃip]	羊, 綿羊
make a wish	許一個願望
want [wɑnt]	要, 想要
shirt [ʃɝt]	襯衫(複數 shirts)
shoe [ʃu]	鞋子(複數 shoes)
Don't touch, please.	請勿碰觸
Be careful.	小心
Look, Dad. It's cool!	看啊, 老爸, 好酷哦!
Excuse me. How much is the robot?	請問一下, 那隻機器人多少錢?
It's fifty dollars. And buy one get one free.	一隻50元. 而且買一送一.
May I have one?	我可以有一隻嗎? (可以買一隻給我嗎?)
Sorry. I only have twenty dollars.	抱歉, 我只有20元
I have twenty dollars.	我有 20 元
I have ten dollars.	我有 10 元
Here you are.	來, 這是你要的
23	twenty-three
34	thirty-four
42	forty-two
57	fifty-seven
68	sixty-eight
The pen is twenty-three dollars.	這支筆 23 元
The erasers are forty-two dollars.	這些橡皮擦 42 元
How much is the cap?	這頂帽子多少錢?
It's thirty dollars.	它 30 元
How much is the bag?	這個背包多少錢?
It's sixty-five dollars.	它 65 元
How much are the books?	這些書多少錢?
The're forty dollars.	他們 40 元.
How much is the wig?	那頂假髮多少錢?
yen	日元, 複數也是 yen
pound	英磅, 複數 pounds.
