What Will Little Bear Wear?	小熊要穿什麼?<br>will: 將會
wear	穿
穿	wear 或 put on
cold	冷
snow	雪
雪	snow
snow come down	雪飄下來
put on	穿上, 戴上
something	某件事物, 某件東西
某件事物	something
head	頭
頭	head
媽媽	mother
熊	bear
here	這裡
這裡	here
little bear	小熊
now	現在
現在	now
pants	褲子
褲子	pants
fur	毛皮
毛皮	fur
coat	外套
外套	coat
hat	帽子
帽子	hat
went out	到外面去<br>went out = go out
cannot	不會<br> cannot = can not = can't
It is cold.	天氣很冷
See the snow?	你看到那雪了嗎?
See the snow come down?	你看到雪飄下來了嗎?
Mother Bear, I am cold.	媽媽我好冷
I want something to put on.	我想要穿個東西在身上.
So Mother Bear made something for Little Bear.	於是熊媽媽做了件東西給小熊<br>made, 製作 = make 的過去式
See, Little Bear	小熊, 你看.
I have something for my little bear.	我有東西要給我的小熊
Here it is.	這就是 (就是這個)<br>here = 這裡
Put it on your head.	戴到你頭上
It is a hat.	是一頂帽子
Hooray! Now I am not cold.	耶!我不會冷了
Little Bear went out to play.	小熊到外面去玩了<br>went = go 的過去式<br>went out = go out
Here is Little Bear.	小熊來了.
Do you want something?	你要什麼東西嗎?
It is a coat.	是一件外套
Here is Little Bear again.	小熊又來了.
So Mother Bear made something again for Little Bear.	所以熊媽媽又做了一件東西給小熊<br>made, 製作 = make 的過去式
Now you cannot be cold.	現在你一定不會冷了!
Put it on.	穿上!
It is snow pants.	是雪褲
what can you want now?	現在你還要什麼呢?
You have a hat, a coat and snow pants.	你有一頂帽子, 一件外套和雪褲
Do you want a fur coat, too?	你還要一件毛皮大衣嗎?
I want a fur coat, too.	我還要一件毛皮大衣<br>我也要一件毛皮大衣
Mother Bear took the hat, the coat, and the snow pants.	熊媽媽拿掉了帽子, 外套和雪褲<br>took, 拿走 = take 的過去式
“See?” said Mother Bear. <br>“There is the fur coat.”	看到沒? 熊媽說<br>這兒就有一件毛皮大衣
Here is my fur coat. Now I am not cold.”	我穿著毛皮大衣.<br>現在我不冷了!
And he was not cold.	他真的不冷了<br>was = is 的過去式.
