1	one
2	two
3	three
4	four
5	five
6	six
8	eight
9	nine
10	ten
鉛筆	pencil
尺	ruler<br>rulers
麥克筆	marker<br>markers
筆記簿	<br>notebooknotebooks
貓	cat<br>cats
兔子	<br>rabbitrabbits
蛇	snake<br>snakes
橡皮擦	eraser<br>erasers
狗	dog<br>dogs
What __ this?	What is this?
What __ that?	What is that?
What is this?<br>= _____ this?	What’s this?
It ___ a pen.	It is a pen.
They ____ rabbits.	They are rabbits.
They’re rabbits.<br>= They ___ rabbits.	They are rabbits.
It’s a pen.<br>= It __ a pen.	It is a pen.
Is this a book?<br>____, it __. It’s a book.	Is this a book?<br>Yes, it is. It’s a book.
Is this a book?<br>____, it is ____. It’s not a book.	Is this a book?<br>No, it is not. It’s not a book.
紅色	red
藍色	blue
黃色	yellow
綠色	green
What _____ is it ?<br>It’s yellow.	What color is it ?<br>It’s yellow.
What ____ ___ your pencil case?<br>It’s red.	What color is your pencil case?<br>It’s red.
鉛筆盒	pencil case
What ___ ____ ?<br>They are rabbits.	What are they ?<br>They are rabbits.
大的	big
小的	small
長的	long
短的	short
這條蛇短短的	The snake is short.
這條蛇長長的	The snake is long.
這些兔子小小的	The rabbits are small.<br>These rabbits are small.
It’s time for class.	上課時間到<br>該上課了
Turn to page 12.	翻到頁數 12<br>翻開課本第12 頁
Come here, please.	來這裡，請.<br>請過來這裡.
It’s time for a break.	是該休息的時間<br>該休息了
Repeat after me.	重覆，在我之後<br>跟著我重覆唸<br>跟我唸一遍
A: Are you ready ?<br>B: Ready.<br>中文意思是: ______	A: 你準備好了嗎？<br>B: 準備好了<br>
A: May I go to the bathroom?<br>B: Yes, you may.<br>中文意思是：_______	A:我可以去浴室（廁所）嗎？<br>B: 是的，你可以。
Stand up.	起立
Sit down.	坐下
Raise your hand.	舉起你的手
Put down your hand.	放下你的手
Take our your book.	拿出你的書本
Put away your book.	收好你的書
Open your book.	打開你的書
Close your book.	蓋上你的書

