Where are you?	你在哪裡?
What time is it?	現在幾點了?
It's ten thirty. Bob is late.	現在10:30了. Bob遲到了.
Where are you, Bob?	你在哪裡, Bob?
I'm at school.	我在學校
We're at the park.	我們在公園
Oh, no!.	噢, 不!
Wait for me.	等等我
I'm sorry.	抱歉
That's OK.	沒關係
Let's go.	我們走吧!
Where is she?	她在哪裡?
She's at home.	她在家
She is at the zoo.	她在動物園
lion	獅子
monkey	猴子
at	在....地點
home	家; 家庭
school	學校
park	公園
zoo	動物園
縮寫轉換:<br>I'm = ___ ____.	I am.
縮寫轉換:<br>He's = ___ ____.	He is.
縮寫轉換:<br>She's = ___ ____.	She is.
唸出<br>phone	
唸出<br>dolphin	
唸出<br>photo	
唸出<br>Joseph	
唸出<br>Phil	
唸出<br>elephant	
唸出<br>Phoebe	
唸出<br>talk	
唸出<br>teach	
唸出<br>phonics	
唸出<br>kid	
唸出<br>them	
聽聽看<br>hone<br>phone	
聽聽看<br>shone<br>phone	
聽聽看<br>Phil<br>pill	
take a photo	拍照
Time to go home	回家時間到了
Mom, I'm home.	媽媽, 我到家了
Let's to the the theme park.	我們去主題樂園吧
theme park	主題樂園
The car park is full	停車場滿了
parking lot	停車場(美式用法)
你在哪裡?	Where are you?
現在幾點了?	What time is it?
現在10:30了. Bob遲到了.	It's ten thirty. Bob is late.
你在哪裡, Bob?	Where are you, Bob?
我在學校	I'm at school.
我們在公園	We're at the park.
噢, 不!	Oh, no!.
等等我	Wait for me.
抱歉	I'm sorry.
沒關係	That's OK.
我們走吧!	Let's go.
她在哪裡?	Where is she?
她在家	She's at home.
她在動物園	She is at the zoo.
獅子	lion
猴子	monkey
在....地點	at
家; 家庭	home
學校	school
公園	park
動物園	zoo
拍照	take a photo
回家時間到了	Time to go home
媽媽, 我到家了	Mom, I'm home.
我們去主題樂園吧	Let's to the the theme park.
主題樂園	theme park
停車場滿了	The car park is full
停車場	parking lot <br>car park
