What are you doing?	你在做什麼?
play	玩
read	閱讀
cook	做菜
sleep	睡覺
do	做
come	過來
help	幫忙
me	我
Mr.	先生 (對男性的稱呼)
mouse	老鼠
Miss	小姐 (對未婚女性的稱呼)
請唸出:<br> thick (厚的)	
請唸出:<br> teeth (牙齒)	
請唸出:<br> these (這些)	
請唸出:<br> weather (天氣)	
請唸出:<br> their (他們的)	
請唸出:<br> birthday (生日)	
請唸出:<br> couch (沙發)	
請唸出:<br> father (父親)	
請唸出:<br> thin (瘦的)	
May I come in, Dad?	爸爸, 我可以進去嗎?
Sure.	當然囉!
I'm home.	我到家了!
What are you doing, Betty?	你在做什麼, 貝蒂?
I'm playing.	我正在玩.
Bob, come and help me.	Bob, 來幫我一下
What's he doing, Betty?	他在做什麼? Betty?
He's reading.	他在讀書
No! He's sleeping.	不, 他正在睡覺.
What's she doing?	她在做什麼?
He's eating.	他正在吃東西.
爸爸, 我可以進去嗎?	May I come in, Dad?
當然囉!	Sure.
我到家了!	I'm home.
你在做什麼, 貝蒂?	What are you doing, Betty?
我正在玩.	I'm playing.
Bob, 來幫我一下	Bob, come and help me.
他在做什麼? Betty?	What's he doing, Betty?
他在讀書	He's reading.
不, 他正在睡覺.	No! He's sleeping.
她在做什麼?	What's she doing?
他正在吃東西.	He's eating.
你在做什麼?	What are you doing?
玩	play
閱讀	read
做菜	cook
睡覺	sleep
做	do
過來	come
幫忙	help
我	me
先生 (對男性的稱呼)	Mr.
老鼠	mouse
小姐 (對未婚女性的稱呼)	Miss
