Can Grandpa dance?	阿公會跳舞嗎？
sing	唱歌
dance	跳舞
skate	溜冰
swim	游泳
ride a bike	騎腳踏車
ride	騎
bike	腳踏車
can	能(表能力)；可以
Really?	真的嗎？(表懷疑)
teach	教導
No problem.	沒問題
Superman	超人
all	所有事情
請念出: whale	
請念出: wheel	
請念出: white	
請念出: when, hen	
請念出: which, rich	
請念出: onto	
請念出: there	
請念出: whip, hip	
請念出: wheat, cheat	
請念出: A witch is on a ship.	
請念出: Three dolphins jump onto the ship.	
請念出: There is a white shark that wants to eat them.	
Try again.	再試一次
Good job.	做得很好
Wow, cool!	哇！酷！
Can you dance, Dad?	你會跳舞嗎，老爸？
No, I can't.	不，我不會。
What can you do?	你會做什麼？
I can sing.	我會唱歌。
I can dance.	我會跳舞。
Really? Can you teach me?	真的嗎？你可以教我嗎？
What can she do?	她會做什麼？
What can he do?	他會做什麼？
She can dance.	她會跳舞
He can ride a bike.	他會騎腳踏車
She can skate.	她會溜冰
She can sing.	她會唱歌
She can swim.	她會游泳
Yes, I can. I can skate.	是的，我會。我會溜冰。
No, I can't. I can't skate.	不，我不會。我不會溜冰。
Yes, he can. He can dance.	是的，他會。他會跳舞。
No, he can't. He can't dance.	不，他不會。他不會跳舞。
can't = ______  ______	can't = can not = cannot
What can you do, Bob?	你會做什麼？Bob?
What can Tina do?	Tina 會做什麼？
What can Allen do?	Allen 會做什麼？
I can dance and skate.	我會跳舞和溜冰。
I can swim and sing.	我會游泳和唱歌。
What can  Superman do?	超人會做什麼？
He can do them all.	他會做所有(動作)。
Japan	日本
Spain	西班牙
Ireland	愛爾蘭
Hawaii	夏威夷
阿公會跳舞嗎？	Can Grandpa dance?
唱歌	sing
跳舞	dance
溜冰	skate
游泳	swim
騎腳踏車	ride a bike
騎	ride
腳踏車	bike
能(表能力)；可以	can
真的嗎？(表懷疑)	Really?
教導	teach
沒問題	No problem.
超人	Superman
所有事情	all
再試一次	Try again.
做得很好	Good job.
哇！酷！	Wow, cool!
你會跳舞嗎，老爸？	Can you dance, Dad?
不，我不會。	No, I can't.
你會做什麼？	What can you do?
我會唱歌。	I can sing.
我會跳舞。	I can dance.
真的嗎？你可以教我嗎？	Really? Can you teach me?
她會做什麼？	What can she do?
他會做什麼？	What can he do?
她會跳舞	She can dance.
他會騎腳踏車	He can ride a bike.
她會溜冰	She can skate.
她會唱歌	She can sing.
她會游泳	She can swim.
是的，我會。我會溜冰。	Yes, I can. I can skate.
不，我不會。我不會溜冰。	No, I can't. I can't skate.
是的，他會。他會跳舞。	Yes, he can. He can dance.
不，他不會。他不會跳舞。	No, he can't. He can't dance.
你會做什麼？Bob?	What can you do, Bob?
Tina 會做什麼？	What can Tina do?
Allen 會做什麼？	What can Allen do?
我會跳舞和溜冰。	I can dance and skate.
我會游泳和唱歌。	I can swim and sing.
超人會做什麼？	What can  Superman do?
他會做所有(動作)。	He can do them all.
日本	Japan
西班牙	Spain
愛爾蘭	Ireland
夏威夷	Hawaii
