What day is today?	今天星期幾?
It's Sunday.	今天星期天
Get up, Annie.	起床了，Annie.
It's seven thirty.	現在七點三十分了
Oh, no! I'm late.	噢不，我遲到了！
It's Friday.	今天星期五
Goodbye, Dad.	再見，老爸
Is today Saturday?	今天星期六嗎？
Why isn't anyone here?	為什麼這裡沒有任何人呢?
Today is Saturday.	今天是星期六
Tomorrow is Sunday.	明天是星期天
Let's go to the zoo.	我們去動物園
Finish your homework today.	今天請完成你的功課(祈使句)
week	星期，週
weekend	週末
Sunday	星期日
Monday	星期一
Tuesday	星期二
Wednesday	星期三
Thursday	星期四
Friday	星期五
Saturday	星期六
We can buy some apples.	我們可以買些蘋果
No, it isn't. It's Monday.	不，不是。今天是星期一
唸出：The cola is two cents.	..
唸出: Cindy likes cookies and ice cream.	..
I dnace on Monday.	我星期一會跳舞
I sing on Tuesday.	我星期二會唱歌
I swin on Wednesday.	我星期三會游泳
I skate on Thursday.	我星期四會溜冰
I ride a bike on Friday.	我星期五會去騎車
I jump rope on Saturday.	我星期六會跳繩
I sleep on Sunday.	我星期天會睡大頭覺
Have a nice weekend.	(祝你)有個愉快的週末
You, too. See you on Monday.	你也是，星期一見
Do your homework.	做你的家庭做業！
Wait a minute.	等一下
Can I go to the park?	我可以去公園嗎？
No! Do your homework.	不行，做你的功課
Don't put off till tomorrow what you can do today.	今日事今日畢
the sun	太陽
the moon	月球
Mars	火星
Mercury	水星
Jupiter	木星
Venus	金星
Saturn	土星
今天星期幾?	What day is today?
今天星期天	It's Sunday.
起床了，Annie.	Get up, Annie.
現在七點三十分了	It's seven thirty.
噢不，我遲到了！	Oh, no! I'm late.
今天星期五	It's Friday.
再見，老爸	Goodbye, Dad.
今天星期六嗎？	Is today Saturday?
為什麼這裡沒有任何人呢?	Why isn't anyone here?
今天是星期六	Today is Saturday.
明天是星期天	Tomorrow is Sunday.
我們去動物園	Let's go to the zoo.
今天請完成你的功課(祈使句)	Finish your homework today.
星期，週	week
週末	weekend
星期日	Sunday
星期一	Monday
星期二	Tuesday
星期三	Wednesday
星期四	Thursday
星期五	Friday
星期六	Saturday
我們可以買些蘋果	We can buy some apples.
不，不是。今天是星期一	No, it isn't. It's Monday.
我星期一會跳舞	I dnace on Monday.
我星期二會唱歌	I sing on Tuesday.
我星期三會游泳	I swin on Wednesday.
我星期四會溜冰	I skate on Thursday.
我星期五會去騎車	I ride a bike on Friday.
我星期六會跳繩	I jump rope on Saturday.
我星期天會睡大頭覺	I sleep on Sunday.
(祝你)有個愉快的週末	Have a nice weekend.
你也是，星期一見	You, too. See you on Monday.
做你的家庭做業！	Do your homework.
等一下	Wait a minute.
我可以去公園嗎？	Can I go to the park?
不行，做你的功課	No! Do your homework.
今日事今日畢	Don't put off till tomorrow what you can do today.
太陽	the sun
月球	the moon
火星	Mars
水星	Mercury
木星	Jupiter
金星	Venus
土星	Saturn
