I have English class on Monday.	星期一我有英文課
Do you like math? Yes, I do.	你喜歡數學嗎？是的，我喜歡。
Do you like music? No, I don't.	你喜歡音樂嗎? 不，我不喜歡。
It's 8:00. Time for class.	現在8點了，該上課了。
What classes do we have today? We have Chinese, English, and art.	今天我們有哪些課？我們有國語課，英文課和美術課。
Oh, no! I don't have my markers.	噢，不！我沒帶麥克筆。
You can use my markers.	你可以用我的麥克筆。
Thank you, Annie.	謝謝你，安妮。
You're welcome.	不客氣！
It's 4:00. Time to go home.	現在4點了。該回家了。
Goodbye, Miss Lee.	再見，李老師。
Do we have math tomorrow? Yes, we do.	明天我們有數學課嗎? 是的，有。
I don't like math. It's so hard.	我不喜歡數學。它好難。
I like math, but I don't like science.	我喜歡數學，但我不喜歡科學。
Don't worry. I can teach you science.	別擔心。我可以教你科學。
I can help you with math.	我可以教你數學。
We have PE tomorrow. 	我們明天有體育課。
Don't forget to bring your jump rope.	別忘了帶你的跳繩。
See you tomorrow.	明天見。
Chinese	國語
English	英語
math	數學
science	科學
music	音樂
art	美術
She has English class on Monday. (注意has/have)	她星期一有英文課
What classes do you have on Friday?	你(們)星期五有什麼課?
Does Bob have music class on Friday?	Bob 星期五有音樂課嗎 ？
We can learn a lot.	我們可以學到很多
Can you say it again?	你可以再說一次嗎 ？
I can help you with English.	英文我可以幫你
I can help you with math.	數學我可以幫你
You're my good friends.	你們是我的好朋友
A friend in need is a friend indeed.	患難見真情 (在(我)真正需要幫忙時候的朋友才是真朋友)
What do you learn in English class?	你在英文課中都學些什麼？
I learn how to speak and read English.	我學著如何說英文和讀英文
play basketball	打籃球
play the recorder	吹笛子
speak and read English	說英文和讀英文
learn	學習
speak	說
Do you see my English book?	你有看到我的英文課本嗎?
Your math book is under the sofa.	你的數學課本在沙發下面
I don't have math class today.	我今天沒有數學課
Your Chinese book is by the desk.	你的國語課本在書桌旁
Your markers are in the toy box.	你的麥克筆在玩具箱裡
Where's my recorder?	我的笛子在哪裡?
星期一我有英文課	I have English class on Monday.
你喜歡數學嗎？是的，我喜歡。	Do you like math? Yes, I do.
你喜歡音樂嗎? 不，我不喜歡。	Do you like music? No, I don't.
現在8點了，該上課了。	It's 8:00. Time for class.
今天我們有哪些課？我們有國語課，英文課和美術課。	What classes do we have today? We have Chinese, English, and art.
噢，不！我沒帶麥克筆。	Oh, no! I don't have my markers.
你可以用我的麥克筆。	You can use my markers.
謝謝你，安妮。	Thank you, Annie.
不客氣！	You're welcome.
現在4點了。該回家了。	It's 4:00. Time to go home.
再見，李老師。	Goodbye, Miss Lee.
明天我們有數學課嗎? 是的，有。	Do we have math tomorrow? Yes, we do.
我不喜歡數學。它好難。	I don't like math. It's so hard.
我喜歡數學，但我不喜歡科學。	I like math, but I don't like science.
別擔心。我可以教你科學。	Don't worry. I can teach you science.
我可以教你數學。	I can help you with math.
我們明天有體育課。	We have PE tomorrow. 
別忘了帶你的跳繩。	Don't forget to bring your jump rope.
明天見。	See you tomorrow.
國語	Chinese
英語	English
數學	math
科學	science
音樂	music
美術	art
她星期一有英文課	She has English class on Monday. (注意has/have)
你(們)星期五有什麼課?	What classes do you have on Friday?
Bob 星期五有音樂課嗎 ？	Does Bob have music class on Friday?
我們可以學到很多	We can learn a lot.
你可以再說一次嗎 ？	Can you say it again?
英文我可以幫你	I can help you with English.
數學我可以幫你	I can help you with math.
你們是我的好朋友	You're my good friends.
患難見真情 (在(我)真正需要幫忙時候的朋友才是真朋友)	A friend in need is a friend indeed.
你在英文課中都學些什麼？	What do you learn in English class?
我學著如何說英文和讀英文	I learn how to speak and read English.
打籃球	play basketball
吹笛子	play the recorder
說英文和讀英文	speak and read English
學習	learn
說	speak
你有看到我的英文課本嗎?	Do you see my English book?
你的數學課本在沙發下面	Your math book is under the sofa.
我今天沒有數學課	I don't have math class today.
你的國語課本在書桌旁	Your Chinese book is by the desk.
你的麥克筆在玩具箱裡	Your markers are in the toy box.
我的笛子在哪裡?	Where's my recorder?
