Where are you going?	你要去哪裡？
bakery	麵包店
bookstore	書店
hospital	醫院
library	圖書館
supermarket	超級市場
tea shop	茶飲店
afternoon	下午
wait	等一下！
closed	打烊
about	關於... ,  和 ... 有關
I'm going to the supermarket.	我要去超市
Can I go with you?	我可以和你去嗎？
Sure!	當然囉！
Where there's a will, there's a way.	有志者，事竟成。
Where are you?	你在哪裡？
I'm at the zoo.	我在動物園
I'm at home.	我在家
I'm going to the park.	我正要去公園
Can you buy some apples at the supermarket?	你可以去超市買一些蘋果嗎?
Wait! Can you buy some cake at the bakery?	等一下，你可以去麵包店買些麵包嗎？
Hi Annie. Are you going to the park?	嗨，Annie. 你要去公園嗎？
No, I'm going to the library.	不，我要去圖書館
It's 9:00. Let's go home.	九點了，我們回家吧
I want some cake.	我要一些蛋糕
Sorry, we are closed.	抱欺，我們打烊了
That's sixty dollars.	這些60元
Let's buy a chocolate cake.	我們買一個巧克力蛋糕吧
chocolate	巧克力
We want a chocolate cake.	我們要買一個巧克力蛋糕
Sorry, we're sold out.	對不起，我們賣完了
你要去哪裡？	Where are you going?
麵包店	bakery
書店	bookstore
醫院	hospital
圖書館	library
超級市場	supermarket
茶飲店	tea shop
下午	afternoon
等一下！	wait
打烊	closed
關於... ,  和 ... 有關	about
我要去超市	I'm going to the supermarket.
我可以和你去嗎？	Can I go with you?
當然囉！	Sure!
有志者，事竟成。	Where there's a will, there's a way.
你在哪裡？	Where are you?
我在動物園	I'm at the zoo.
我在家	I'm at home.
我正要去公園	I'm going to the park.
你可以去超市買一些蘋果嗎?	Can you buy some apples at the supermarket?
等一下，你可以去麵包店買些麵包嗎？	Wait! Can you buy some cake at the bakery?
嗨，Annie. 你要去公園嗎？	Hi Annie. Are you going to the park?
不，我要去圖書館	No, I'm going to the library.
九點了，我們回家吧	It's 9:00. Let's go home.
我要一些蛋糕	I want some cake.
抱欺，我們打烊了	Sorry, we are closed.
這些60元	That's sixty dollars.
我們買一個巧克力蛋糕吧	Let's buy a chocolate cake.
巧克力	chocolate
我們要買一個巧克力蛋糕	We want a chocolate cake.
對不起，我們賣完了	Sorry, we're sold out.
___ ___ ___ some cake at the bakery? 你可以去麵包店買些麵包嗎？	Can you buy some cake at the bakery?
___ ___ ___ to the park? 你要去公園嗎？	Are you going to the park?
I  ___  ___  to the library. 我要去圖書館	I'm going to the library.
We  ____  ____  ___.  我們賣完了	We are sold out.
I'm  ___  the zoo. 我在動物園	I'm at the zoo.
I'm  ___  home. 我在家裡	I'm at home.
I  __ ____ ___ the park. 我要去公園	I am going to the park.
I  __ ____ ___ the supermarket. 我要去超市	I am going to the supermarket.
____  I go with you? 我可以和你去嗎？	Can I go with you?
