Where are you from?	你從哪裡來？
Canada	加拿大
the USA	美國
the UK	英國
Egypt	埃及
India	印度
Thailand	泰國
South Korea	韓國 (南韓)
Japan	日本
Taiwan	台灣
try	嘗試
milk tea	奶茶
streamed dumplings	包子
rice dumplings	粽子
fried dumplings	煎餃 
steam	蒸汽
dumpling	餃子
stinky tofu	臭豆腐
stinky	臭
tofu	豆腐
smell	聞
yuck	噁
taste	味道(名詞)  嚐起來(動詞)
When in Rome, do as the Romans do.	入境隨俗。
watch	看
movie	電影
on TV	在電視上
pyramid	金字塔
Khufu	胡夫
fall asleep	睡著
dream	夢想
huge	巨大
catch	抓住
beautiful	美麗
country	國家
airplane	飛機
museum	博物館
mummy	木乃伊
tomorrow	明天
king	國王
No way.	不行！
It really is!	那是真的！
plate	盤子
vase	花瓶
pail	水桶
chain	鏈子
May	五月
gray	灰色
lake	湖
its	它的
tail	尾巴
gold	黃金
sale	拍賣
paint	顏料，油漆
Where are you going?	你要去哪裡？
We're going to the Pyramid of Khufu.	我們要去古夫金字塔。
Are you from the USA?	你來自美國嗎？
No. I'm from the UK.	不，我來自英國。
I'm from Canada.	我來自加拿大。
Wow! It's huge.	哇！它超大。
Catch them.	抓住他們。
We are from Taiwan.	我們來自台灣。
Where is that?	那是在哪裡？
It's a beautiful country.	這是一個美麗的國家。
How can I get there?	我要如何到那裡？
You can get there by airplane.	你可以乘飛機到達那裡。
Let's go to the museum to look at the mummies tomorrow.	我們明天去博物館看看木乃伊吧。
It's the king of Egypt.	這是埃及的國王。
Where is he from ?	他來自哪裡 ？
Where are they from ?	他們從哪裡來 ？
He is from Japan.	他來自日本。
I'm from the USA.	我來自美國。
A cat plays with its tail by a lake.	一隻貓在湖邊玩耍牠的尾巴。
Some gold chains are on sale today.	今天有些金鍊子在拍賣。
A vase is on a gray plate.	一個花瓶在灰色的盤子上。
The gray plate is by a pail.	灰色的盤子是一個桶。
Some gray paint is in the pail.	桶裡有一些灰色油漆。
Jay paints the vase gray.	傑伊把花瓶塗成灰色。
Try some milk tea.	嚐些奶茶吧。
How are the steamed dumplings?	蒸餃 (湯包) 怎麼樣？
Mmm, yummy.	嗯，好吃。
Have some stinky tofu.	來一些臭豆腐吧。
It smells bad. Yuck!	真難聞。噁！
It smells bad, but it tastes good.	它聞起來很糟糕，但味道很好。
Spain	西班牙
France	法國
Italy	義大利
Brazil	巴西
Australia	澳大利亞
